TANGGAL,Bandar_Buat,Limau_Manih_UNAND,Lubuk_Minturun,Nanggalo,Parak_Karakah,Stamar_Teluk_Bayur,Tambang_Semen_Padang,Teluk_Bayur,Water_Plan_Semen_Padang
2017-07-15,2.795580526647572,19.65581731727968,2.5,4.7,3.5,11.547701840458208,16.5783176969035,10.38730059172256,17.01210070985572
2017-07-16,9.691185058824399,6.153490621423272,2.0,16.0,2.2,10.773338390309766,3.072027613822539,0.9928788697098958,5.430557932212516
2017-07-17,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-07-18,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-07-19,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-07-20,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-07-21,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-07-22,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-07-23,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-07-24,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-07-25,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-07-26,3.4998126065211372,8.78012078475066,10.0,0.0,0.5,10.731933145151988,1.5109022947913426,0.0,15.918840275984522
2017-07-27,31.02304803212712,48.95440288537799,8.0,10.0,46.7,36.59793890123078,50.76855267597414,33.13477145211375,49.048962891238055
2017-07-28,1.6131124181519696,1.9783040914112302,9.0,3.0,0.5,12.912898397734173,1.3924301502436072,6.931499042433079,3.35613263327505
2017-07-29,20.333484135281548,46.40440240136239,27.0,67.7,54.0,35.357673363580794,39.9328242926884,38.5990845864979,36.973132948776836
2017-07-30,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-07-31,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-08-01,16.41970614178652,23.176970356112403,22.0,0.0,74.0,25.36542195712254,27.110344543540823,17.49709913996664,29.147258973572402
2017-08-02,0.0,0.8,0.0,5.0,0.0,1.3401243557450926,0.0,0.2,2.4
2017-08-03,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-08-04,4.2,2.6,0.0,0.0,1.0,16.0,0.8,3.2,0.64
2017-08-05,0.9969472961722127,11.687048375259069,1.0,3.0,2.0,14.01445154271973,16.44543807868726,1.8598895814344087,29.839443911899536
2017-08-06,56.141040725017426,60.48160462979593,33.0,28.0,35.3,54.68362696838334,57.9915794445954,33.41655126096435,50.188569332220816
2017-08-07,9.259999999997847,20.4000000000179,0.0,1.0,2.5,33.83725310315495,22.600000000042492,3.1999999999976723,14.20000000003696
2017-08-08,0.0,0.8,0.0,5.0,0.0,1.3401243557450926,0.0,0.2,2.4
2017-08-09,4.248722091730701,6.971961816424576,1.5,6.0,4.5,8.66850372905741,0.606605039977089,4.012809942879625,1.7159713729249224
2017-08-10,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-08-11,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-08-12,16.107605404157432,22.529409863804368,11.0,98.0,94.3,36.421995734302484,59.86641734067398,19.631252624324645,87.42489326541522
2017-08-13,15.328518584970816,32.87306717630258,12.0,81.5,74.0,44.785732590440055,34.373138297023715,36.52396920627343,33.56237653135494
2017-08-14,0.0,0.0,0.0,19.0,0.0,9.257798280624499,0.6,0.0,0.0
2017-08-15,5.532271530875085,27.237449454020922,32.5,19.5,60.3,37.859101441735284,17.620656528226924,38.256792831631415,27.294649826840157
2017-08-16,20.81244576190089,25.324708858346483,51.0,24.0,33.4,67.91104839145258,21.14812573916902,29.413400120556016,20.630095002671638
2017-08-17,4.840734210422376,1.2251482265544136,9.0,5.0,0.0,12.997715417819627,3.7449224255479465,8.037119965713469,1.872461212773973
2017-08-18,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-08-19,4.808469512434332,23.24017690195434,8.0,2.5,2.5,4.466831359815282,4.355371206845683,4.016698978086493,12.264570218204023
2017-08-20,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-08-21,5.404078614125322,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-22,25.4888647476241,15.790679658070694,0.0,52.0,40.0,31.883531992979417,37.00113165863202,24.743831997579548,50.742954742726404
2017-08-23,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-08-24,1.9138219656801052,12.973044467748082,7.0,131.0,14.3,30.795957868965512,23.6452967084818,10.628514009104936,12.781627511263368
2017-08-25,9.475782221719534,13.37999961369216,0.0,10.0,32.7,29.908142823792907,16.337161808709734,19.759258804728375,20.26053392468351
2017-08-26,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-08-27,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-08-28,0.0,4.1,0.0,0.0,0.0,4.2,0.0,2.0,0.0
2017-08-29,20.827868038533502,45.35308415225427,91.0,29.5,34.5,31.157653812128522,53.94612305228038,36.68816058093093,52.773834394999255
2017-08-30,0.0,1.0,0.0,0.0,0.8,14.500000000001075,3.2,0.48,0.0
2017-08-31,0.0,10.515024918579273,3.0,7.5,0.0,5.131239121359639,8.368496525028567,2.761201532984334,1.8150900380779227
2017-09-01,4.2,0.8,0.0,0.0,6.2,8.046510095338766,0.6,0.2,3.0
2017-09-02,5.415985277995183,7.8581285536891485,0.0,18.0,0.5,9.742965296037797,5.288980527023242,2.7638334136482,6.764340533717532
2017-09-03,3.6,0.8,2.0,0.0,0.0,0.05,6.4,0.6,0.1
