POS HUJAN ID,NAME,CURRENT LATITUDE,CURRENT LONGITUDE,CURRENT ELEVATION M,DATA TIMESTAMP,RECEIVED TIMESTAMP,RAINFALL DAY MM,RAINFALL TRACE
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-02-28 00:00:00.0 +0:00,2023-07-20 14:50:38.132307 Asia/Jakarta,1.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-01 00:00:00.0 +0:00,2023-07-18 10:53:09.282223 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-02 00:00:00.0 +0:00,2023-07-18 10:52:55.385265 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-03 00:00:00.0 +0:00,2023-07-18 10:52:46.935741 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-04 00:00:00.0 +0:00,2023-07-18 10:53:01.277588 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-05 00:00:00.0 +0:00,2023-07-18 10:53:05.238969 Asia/Jakarta,2.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-06 00:00:00.0 +0:00,2023-07-18 10:53:02.968534 Asia/Jakarta,11.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-07 00:00:00.0 +0:00,2023-07-18 10:53:03.7656 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-08 00:00:00.0 +0:00,2023-07-18 10:52:59.601574 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-09 00:00:00.0 +0:00,2023-07-18 10:52:52.839916 Asia/Jakarta,71.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-10 00:00:00.0 +0:00,2023-07-18 10:53:08.473472 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-11 00:00:00.0 +0:00,2023-07-18 10:53:10.111025 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-12 00:00:00.0 +0:00,2023-07-18 10:52:51.996334 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-13 00:00:00.0 +0:00,2023-07-18 10:53:04.457434 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-14 00:00:00.0 +0:00,2023-07-18 10:53:02.118771 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-15 00:00:00.0 +0:00,2023-07-18 10:52:56.240568 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-16 00:00:00.0 +0:00,2023-07-18 10:52:46.55251 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-17 00:00:00.0 +0:00,2023-07-18 10:52:49.438329 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-18 00:00:00.0 +0:00,2023-07-18 10:52:51.147478 Asia/Jakarta,58.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-19 00:00:00.0 +0:00,2023-07-18 10:53:06.855579 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-20 00:00:00.0 +0:00,2023-07-18 10:53:06.48375 Asia/Jakarta,1.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-21 00:00:00.0 +0:00,2023-07-18 10:52:50.292102 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-22 00:00:00.0 +0:00,2023-07-18 10:53:00.44418 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-23 00:00:00.0 +0:00,2023-07-18 10:52:54.529128 Asia/Jakarta,2.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-24 00:00:00.0 +0:00,2023-07-18 10:53:10.959869 Asia/Jakarta,75.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-25 00:00:00.0 +0:00,2023-07-18 10:52:58.755827 Asia/Jakarta,27.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-26 00:00:00.0 +0:00,2023-07-18 10:52:57.94178 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-27 00:00:00.0 +0:00,2023-07-18 10:52:57.94664 Asia/Jakarta,18.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-28 00:00:00.0 +0:00,2023-07-18 10:52:48.593014 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-29 00:00:00.0 +0:00,2023-07-18 10:52:47.736017 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-30 00:00:00.0 +0:00,2023-07-18 10:52:53.683115 Asia/Jakarta,4.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-01-31 00:00:00.0 +0:00,2023-07-18 10:53:07.664423 Asia/Jakarta,5.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-01 00:00:00.0 +0:00,2023-07-20 14:53:17.630374 Asia/Jakarta,2.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-02 00:00:00.0 +0:00,2023-07-20 14:53:09.132586 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-03 00:00:00.0 +0:00,2023-07-20 14:53:02.491776 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-04 00:00:00.0 +0:00,2023-07-20 14:53:14.224858 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-05 00:00:00.0 +0:00,2023-07-20 14:53:00.981542 Asia/Jakarta,3.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-06 00:00:00.0 +0:00,2023-07-20 14:53:07.415452 Asia/Jakarta,42.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-07 00:00:00.0 +0:00,2023-07-20 14:53:16.778347 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-08 00:00:00.0 +0:00,2023-07-20 14:53:10.828165 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-09 00:00:00.0 +0:00,2023-07-20 14:53:19.235856 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-10 00:00:00.0 +0:00,2023-07-20 14:53:08.283055 Asia/Jakarta,3.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-11 00:00:00.0 +0:00,2023-07-20 14:53:05.705761 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-12 00:00:00.0 +0:00,2023-07-20 14:53:20.740437 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-13 00:00:00.0 +0:00,2023-07-20 14:53:03.321606 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-14 00:00:00.0 +0:00,2023-07-20 14:53:01.766254 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-15 00:00:00.0 +0:00,2023-07-20 14:53:04.93495 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-16 00:00:00.0 +0:00,2023-07-20 14:53:11.679374 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-17 00:00:00.0 +0:00,2023-07-20 14:53:15.74563 Asia/Jakarta,5.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-18 00:00:00.0 +0:00,2023-07-20 14:52:59.423203 Asia/Jakarta,3.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-19 00:00:00.0 +0:00,2023-07-20 14:53:13.377785 Asia/Jakarta,117.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-20 00:00:00.0 +0:00,2023-07-20 14:52:58.536945 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-21 00:00:00.0 +0:00,2023-07-20 14:53:09.979408 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-22 00:00:00.0 +0:00,2023-07-20 14:53:15.929107 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-23 00:00:00.0 +0:00,2023-07-20 14:53:04.10802 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-24 00:00:00.0 +0:00,2023-07-20 14:53:18.461725 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-25 00:00:00.0 +0:00,2023-07-20 14:53:06.557826 Asia/Jakarta,0.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-26 00:00:00.0 +0:00,2023-07-20 14:53:00.157695 Asia/Jakarta,7.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-27 00:00:00.0 +0:00,2023-07-20 14:53:19.960713 Asia/Jakarta,4.0,N
13711001a,Nanggalo,-0.91,100.36,0,2015-02-28 00:00:00.0 +0:00,2023-07-20 14:53:12.530331 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-01 00:00:00.0 +0:00,2023-07-18 11:04:15.962565 Asia/Jakarta,18.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-02 00:00:00.0 +0:00,2023-07-18 11:04:12.61994 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-03 00:00:00.0 +0:00,2023-07-18 11:04:16.783136 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-04 00:00:00.0 +0:00,2023-07-18 11:04:17.622303 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-05 00:00:00.0 +0:00,2023-07-18 11:03:53.932992 Asia/Jakarta,7.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-06 00:00:00.0 +0:00,2023-07-18 11:04:00.860644 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-07 00:00:00.0 +0:00,2023-07-18 11:03:53.52471 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-08 00:00:00.0 +0:00,2023-07-18 11:04:03.426606 Asia/Jakarta,24.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-09 00:00:00.0 +0:00,2023-07-18 11:04:10.87546 Asia/Jakarta,50.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-10 00:00:00.0 +0:00,2023-07-18 11:03:57.417117 Asia/Jakarta,8.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-11 00:00:00.0 +0:00,2023-07-18 11:03:56.558603 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-12 00:00:00.0 +0:00,2023-07-18 11:04:04.206934 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-13 00:00:00.0 +0:00,2023-07-18 11:04:06.771769 Asia/Jakarta,49.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-14 00:00:00.0 +0:00,2023-07-18 11:03:59.148168 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-15 00:00:00.0 +0:00,2023-07-18 11:04:13.453859 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-16 00:00:00.0 +0:00,2023-07-18 11:04:05.904048 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-17 00:00:00.0 +0:00,2023-07-18 11:04:11.783758 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-18 00:00:00.0 +0:00,2023-07-18 11:04:02.574626 Asia/Jakarta,55.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-19 00:00:00.0 +0:00,2023-07-18 11:04:08.406656 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-20 00:00:00.0 +0:00,2023-07-18 11:04:07.629944 Asia/Jakarta,4.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-21 00:00:00.0 +0:00,2023-07-18 11:04:09.222535 Asia/Jakarta,9.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-22 00:00:00.0 +0:00,2023-07-18 11:03:55.70719 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-23 00:00:00.0 +0:00,2023-07-18 11:04:10.93631 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-24 00:00:00.0 +0:00,2023-07-18 11:04:00.3174 Asia/Jakarta,52.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-25 00:00:00.0 +0:00,2023-07-18 11:04:05.53865 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-26 00:00:00.0 +0:00,2023-07-18 11:04:15.128631 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-27 00:00:00.0 +0:00,2023-07-18 11:04:14.292898 Asia/Jakarta,0.0,N
13711102a,Lubuk Minturun,-0.85,100.38,53,2015-01-28 00:00:00.0 +0:00,2023-07-18 11:03:52.175822 Asia/Jakarta,2.0,N
