TANGGAL,y_true,y_pred,SHAP_Bulan,SHAP_Hari_Tahun,SHAP_Hari_Minggu,SHAP_Lag1,SHAP_Lag2,SHAP_Lag3,SHAP_Roll7,SHAP_Roll30,SHAP_Tetangga_Lag1_avg,SHAP_Tetangga_Roll7_avg,SHAP_STASIUN_Lubuk_Minturun,SHAP_STASIUN_Nanggalo,SHAP_STASIUN_Parak_Karakah,SHAP_Musim_Hujan_Intensif,SHAP_Musim_Kemarau,SHAP_Musim_Peralihan_1,SHAP_Musim_Peralihan_2
2024-05-03,0,0,0.0,0.0031610755,0.009500714,-0.032794796,0.023768723,-0.004768604,0.003032248,0.007705127,-0.3387748,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,0,0,0.0,0.0031610755,0.009500714,-0.032794796,0.023768723,-0.004768604,0.003032248,0.007705127,-0.3387748,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,1,0,0.0,-0.009267417,0.009500714,0.07616081,0.025969326,0.0035676449,0.003032248,-0.00040361035,-0.29381153,0.0325252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,0,1,0.0,-0.027438467,0.005770742,0.025616255,0.0076574995,-0.0020542145,-0.002317368,0.02546672,0.15386596,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,1,1,0.0,-0.027528303,0.005770742,-0.010510421,0.00720668,-0.0020380272,0.0022060603,0.02546672,0.19213042,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,0,1,0.0,-0.03206468,0.026842358,0.028833466,0.008605503,-0.0066100443,0.00031004922,0.022469793,0.46496615,0.008877241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,0,1,0.0,-0.03206468,0.026842358,0.028833466,0.0076574995,-0.0066100443,0.0022060603,0.022469793,0.46401814,0.008877241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,0,1,0.0,-0.05447574,0.026842358,0.028833466,-0.0163377,-0.0066100443,0.00031004922,-0.00971313,0.48048562,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0,0,0.0,-0.014630465,-0.044374947,-0.012183233,-0.2834074,0.0038667028,-0.025519839,0.0031342898,0.12981506,0.016587354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0,0,0.0,-0.022739455,-0.053872377,0.048932474,-0.17915612,-0.0045339167,0.07421614,0.016194953,-0.18604107,0.027662504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0,1,0.0,-0.006155057,-0.044374947,0.02890457,-0.23191105,-0.0044695465,0.07421614,0.011243026,0.15934741,0.014973782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,0,0,0.0,-0.0127887735,-0.01470122,-0.032794796,0.02818826,-0.0074763615,-0.0006815586,0.0055973292,-0.32290256,0.0325252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,0,0,0.0,0.0006037636,-0.01470122,-0.032794796,0.023604667,0.0035676449,0.003032248,0.0137060685,-0.35070735,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,0,0,0.0,-0.0035856664,-0.01470122,0.07616081,0.02580527,-0.0074763615,0.003032248,0.0137060685,-0.298841,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0,1,0.0,-0.03929769,0.005770742,0.025616255,0.008605503,-0.0066231126,0.00031004922,-0.0067162053,0.14263421,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0,1,0.0,-0.0018702741,0.0072808545,0.05748989,0.011638176,0.0038667028,0.0032845913,0.010099949,0.039976098,0.017019589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0,1,0.0,-0.042414125,0.005770742,0.025616255,0.008605503,0.010423893,0.00031004922,0.02546672,0.16053843,0.008877241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,0,1,0.0,-0.038490895,0.005770742,0.025616255,0.008605503,-0.0066231126,0.00031004922,-0.0067162053,0.14344099,0.008877241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,0,1,0.0,-0.020824488,0.005770742,0.025616255,0.008605503,-0.0066231126,0.00031004922,0.02546672,0.15599579,0.008877241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,0,1,0.0,-0.020824488,0.005770742,0.025616255,0.008605503,-0.0066231126,0.00031004922,0.02546672,0.15599579,0.008877241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,0,0,0.0,-0.0010070503,0.009500714,-0.032794796,0.028352316,0.0035676449,-0.0006815586,0.007705127,-0.34381276,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,0,0,0.0,-0.0010070503,0.009500714,-0.032794796,0.028352316,0.0035676449,-0.0006815586,0.007705127,-0.34381276,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,0,0,0.0,-0.0013705784,0.009500714,-0.032794796,0.028352316,-0.0025266183,-0.0006815586,-0.00040361035,-0.3292462,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,0,0,0.0,-0.0044177133,0.009500714,-0.032794796,0.028352316,0.0035676449,-0.0006815586,-0.00040361035,-0.33229333,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,0,0,0.0,-0.0010070503,0.009500714,-0.032794796,0.028352316,0.0035676449,-0.0006815586,0.007705127,-0.34381276,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,0,0,0.0,-0.0010070503,0.009500714,-0.032794796,0.028352316,0.0035676449,-0.0006815586,0.007705127,-0.34381276,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,0,1,0.0,-0.03929769,0.005770742,0.025616255,0.0076574995,-0.0066231126,0.0022060603,-0.0067162053,0.14168623,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,1,1,0.0,-0.02219398,0.0071890764,0.025616255,0.0076574995,-0.0066231126,0.0022060603,0.02533858,0.1667731,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,0,1,0.0,-0.021631274,0.005770742,0.025616255,0.0076574995,-0.0066231126,0.0022060603,0.02546672,0.15424104,0.010490812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,0,1,0.0,-0.053362112,-0.20948164,0.028833466,-0.016371634,-0.0066231126,0.00031004922,-0.0081628775,0.31690004,0.008877241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,0,1,0.0,-0.031757843,-0.20948164,0.028833466,0.008571569,-0.0066231126,0.00031004922,0.024020046,0.30057383,0.008877241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,0,1,0.0,-0.035695698,-0.27227324,0.028833466,-0.016371634,-0.0066100443,0.00031004922,0.02361287,0.29215604,0.008877241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,0,1,0.0,0.056613393,-0.00610077,0.018627917,-0.17021431,0.023627326,-0.00487936,-0.010023849,0.40460896,0.0068314355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,0,1,0.0,0.040601242,-0.002311093,0.018627917,-0.17021431,0.023627326,-0.00487936,0.01015585,0.3966518,0.0068314355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,0,1,0.0,0.04219708,-0.0031559789,0.025616255,-0.016371634,0.023627326,0.00031004922,0.01015585,0.22783451,0.008877241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-15,0,0,0.0,0.028447015,0.009500714,0.07616081,0.030552924,0.006116704,-0.0006815586,0.0045285625,-0.33600628,0.028654482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
